ticker,entry_date,exit_date,entry_price,exit_price,shares,lots,gross_pnl,net_pnl,costs,return_pct,holding_days,exit_reason
TLKM,2020-06-25T00:00:00,2020-07-23T00:00:00,3721.8599999999997,3408.295,9100,91,-2853441.4999999963,-2961995.695750002,108554.19575,-0.08745466849908384,28,stop_loss
BBRI,2020-04-23T00:00:00,2020-09-04T00:00:00,4442.219999999999,4057.9700000000003,7500,75,-2881874.999999993,-2988396.712499991,106521.71250000001,-0.08969679462070741,134,stop_loss
BBCA,2020-04-07T00:00:00,2020-10-27T00:00:00,8364.18,9495.25,3900,39,4411172.999999999,4281562.8374999985,129610.1625,0.13125454318295393,203,sma_cross_below
BBRI,2020-11-17T00:00:00,2020-12-11T00:00:00,4832.415,4407.795,7000,70,-2972339.999999999,-3080330.977499999,107990.97750000001,-0.09106156704256564,24,stop_loss
BBCA,2020-11-12T00:00:00,2021-01-05T00:00:00,9494.744999999999,8765.615,3500,35,-2551954.999999997,-2659333.7837499976,107378.78375,-0.08002422945534603,54,stop_loss
TLKM,2020-10-07T00:00:00,2021-01-12T00:00:00,3511.7549999999997,3198.4,8700,87,-2726188.4999999963,-2823579.7799999975,97391.28,-0.09241800752045623,97,stop_loss
BBRI,2021-11-03T00:00:00,2021-11-26T00:00:00,3411.705,3128.435,8700,87,-2464449.0,-2559709.8457500003,95260.84575000001,-0.08623826576447848,23,stop_loss
BBCA,2021-11-18T00:00:00,2021-12-30T00:00:00,7173.585,7526.235000000001,4100,41,1445865.0000000023,1337863.527750004,108001.47225000002,0.045487462335777856,42,sma_cross_below
BBCA,2022-02-01T00:00:00,2022-08-03T00:00:00,7383.69,9275.36,3900,39,7377513.000000004,7250904.336000003,126608.664,0.2517990652370293,183,take_profit
BBRI,2022-05-09T00:00:00,2022-11-03T00:00:00,3621.81,4527.735000000001,8200,82,7428585.000000006,7298639.005500004,129945.99450000003,0.24575500302335032,178,take_profit
TLKM,2022-01-24T00:00:00,2023-01-09T00:00:00,2571.285,3268.3650000000002,11400,114,7946712.000000005,7816304.236500002,130407.7635,0.26665294687286717,350,take_profit
