date,ticker,open,high,low,close,volume
2019-01-02,BBCA,8010,8070,7970,8030,10255792
2019-01-03,BBCA,8080,8280,7920,8120,23215052
2019-01-04,BBCA,8110,8190,8060,8130,5924529
2019-01-07,BBCA,8140,8200,8000,8060,18630605
2019-01-08,BBCA,8080,8110,8040,8070,11785194
2019-01-09,BBCA,8070,8150,7910,7990,9773132
2019-01-10,BBCA,8030,8110,7980,8070,14345230
2019-01-11,BBCA,8050,8110,7950,8010,10728424
2019-01-14,BBCA,8020,8150,7840,7980,6504123
2019-01-15,BBCA,8020,8040,8000,8010,9601563
2019-01-16,BBCA,8100,8280,8030,8210,9768918
2019-01-17,BBCA,8170,8360,7960,8140,14124986
2019-01-18,BBCA,8090,8210,8020,8130,14684963
2019-01-21,BBCA,8170,8230,8140,8190,20868706
2019-01-22,BBCA,8160,8270,8020,8140,11575355
2019-01-23,BBCA,8190,8230,8120,8160,14165324
2019-01-24,BBCA,8200,8250,8170,8220,10056419
2019-01-25,BBCA,8230,8330,8190,8290,14109629
2019-01-28,BBCA,8260,8300,8210,8240,7475585
2019-01-29,BBCA,8270,8570,8090,8390,5559810
2019-01-30,BBCA,8320,8330,8220,8230,21386290
2019-01-31,BBCA,8260,8300,8250,8290,11899967
2019-02-01,BBCA,8240,8260,8240,8260,6478753
2019-02-04,BBCA,8240,8440,8050,8240,25185577
2019-02-05,BBCA,8250,8300,8110,8160,12863378
2019-02-06,BBCA,8150,8350,8040,8230,11821797
2019-02-07,BBCA,8230,8360,8160,8290,9606345
2019-02-08,BBCA,8270,8290,8210,8230,6908726
2019-02-11,BBCA,8200,8310,8010,8120,18467293
2019-02-12,BBCA,8160,8270,8020,8130,12381937
2019-02-13,BBCA,8140,8200,8130,8190,10319252
2019-02-14,BBCA,8220,8270,8130,8180,6477446
2019-02-15,BBCA,8150,8150,8060,8070,6709138
2019-02-18,BBCA,8050,8050,7980,7990,19731613
2019-02-19,BBCA,7970,8010,7920,7960,3249983
2019-02-20,BBCA,7910,7970,7880,7940,10666517
2019-02-21,BBCA,7990,8120,7880,8020,8672659
2019-02-22,BBCA,7960,8120,7880,8040,8051969
2019-02-25,BBCA,8040,8100,7990,8050,16113172
2019-02-26,BBCA,8010,8170,7900,8060,12588246
2019-02-27,BBCA,8020,8140,7850,7970,14113702
2019-02-28,BBCA,8010,8250,7860,8090,7343240
2019-03-01,BBCA,8140,8290,8080,8230,11515079
2019-03-04,BBCA,8210,8290,8070,8150,5730060
2019-03-05,BBCA,8190,8210,8190,8210,10278723
2019-03-06,BBCA,8210,8370,7960,8120,2454466
2019-03-07,BBCA,8210,8400,8120,8310,8625308
2019-03-08,BBCA,8310,8320,8210,8220,22223347
2019-03-11,BBCA,8220,8260,8100,8140,7325215
2019-03-12,BBCA,8140,8220,8050,8130,7039870
2019-03-13,BBCA,8130,8150,8110,8120,7163256
2019-03-14,BBCA,8150,8200,8030,8080,9855831
2019-03-15,BBCA,8080,8300,7880,8090,36994476
2019-03-18,BBCA,8040,8110,7920,7990,3412181
2019-03-19,BBCA,8040,8340,7890,8180,7758196
2019-03-20,BBCA,8200,8270,8030,8100,13633969
2019-03-21,BBCA,8110,8280,7930,8090,5656632
2019-03-22,BBCA,8120,8260,8000,8140,12552220
2019-03-25,BBCA,8120,8170,7970,8020,14180229
2019-03-26,BBCA,8040,8140,7940,8040,16264543
2019-03-27,BBCA,8050,8300,7920,8160,10665144
2019-03-28,BBCA,8160,8370,8060,8270,10522004
2019-03-29,BBCA,8250,8370,8170,8290,12560269
2019-04-01,BBCA,8370,8520,8300,8450,15669853
2019-04-02,BBCA,8390,8470,8330,8410,9935056
2019-04-03,BBCA,8370,8390,8300,8330,8259006
2019-04-04,BBCA,8300,8520,8120,8330,12034727
2019-04-05,BBCA,8380,8600,8250,8470,17678198
2019-04-08,BBCA,8420,8500,8200,8280,21584430
2019-04-09,BBCA,8220,8250,8140,8170,11444398
2019-04-10,BBCA,8150,8350,8050,8250,13918386
